"2010-10-26" "2010-12-02" "2011-01-21" "2011-02-25" "2011-03-16" "2011-03-20" "2011-04-17" "2011-04-20" "2011-06-03" "2011-06-16" "2011-06-22" "2011-07-01" "2011-07-19" "2012-06-10" "2012-07-20" "2012-09-27" "2013-06-07" "2013-07-22" "Total"
"1S" 4 38 48 39 22 16 39 20 1 2 0 1 0 0 0 0 0 0 230
"1U" 101 93 72 38 18 33 36 29 10 6 7 8 8 0 0 0 0 0 459
"1W" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 14 11 26 12 69
"2S" 0 0 3 10 14 4 8 3 2 0 0 1 0 0 0 0 0 0 45
"2U" 8 8 13 33 24 5 1 15 12 5 8 9 5 0 0 0 0 0 146
"2W" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 14 1 26 16 64
"3U" 0 0 0 15 5 5 1 0 6 14 6 0 3 0 0 0 0 0 55
"3W" 0 0 0 0 0 0 0 0 0 0 0 0 0 26 25 0 15 17 83
"4U" 0 0 0 0 0 0 0 0 6 9 14 16 29 0 0 0 0 0 74
"4W" 0 0 0 0 0 0 0 0 0 0 0 0 0 9 11 0 2 14 36
"Total" 113 139 136 135 83 63 85 67 37 36 35 35 45 48 64 12 69 59 1261
